sentence classes
请问公司的地点在哪 AT
公司在什么地方 AT
怎么联系这个公司 AT
这个公司的电话是多少 AT
公司位于什么位置 AT
要怎么去这个公司 AT
公司的联系电话是什么 AT
这个公司有电话号码么? AT
电话号码是啥 AT
有手机或者电话么 AT
联系方式是什么 AT
地点在哪儿 AT
什么方位 AT
怎么去这个公司 AT
坐落于哪 AT
办公地点在哪 AT
贵公司在哪驻扎 AT
公司总部在哪 AT
公司在哪凯咯 AT
如何联系公司啊 AT
这个公司在哪个方位 AT
公司怎么走 AT
公司的位置在哪里 AT
公司在哪那个方向 AT
公司地址是在哪 AT
公司地点是什么 AT
公司是什么类型的啊 CI
公司主打什么业务 CI
这个公司做什么的 CI
盈利模式是什么 CI
公司主要做什么的 CI
能跟我介绍一下这个公司吗 CI
公司干什么的 CI
公司干嘛的 CI
公司干啥的 CI
公司干吗的 CI
公司是什么 CI
我想了解一下这个公司 CI
公司有什么产品 CI
提供什么服务吗 CI
公司是什么类型的 CI
给我说说这个公司吧 CI
该公司都做哪些业务 CI
这公司是做什么的 CI
公司的经营范围是哪些 CI
请简单说一下公司的服务内容 CI
公司旗下有什么内容 CI
贵司真厉害 NN
真棒好棒棒 NN
怎么获取offer呢 PI
怎么加入公司 PI
怎么进入公司 PI
我能成为其中一员么 PI
月薪多少 PI
能提供什么样的offer PI
有什么位置 PI
需要什么样的员工 PI
对员工有要求么 PI
员工待遇如何 PI
招收怎样的员工 PI
对能力有什么要求 PI
有什么岗位可供选择 PI
对外引进人才吗 PI
对人才如何培养 NN
需要什么人才 PI
会招聘哪些职位 PI
各职位都有哪些要求 PI
有哪些职务空缺 PI
有哪些职位空缺 PI
有哪些岗位空缺 PI
需要哪方面的员工 PI
需要哪方面的人才 PI
想要了解笔试题目 WE
应聘流程是怎样的 WE
我要应聘岗位 WE
我要加入这个公司 WE
如何通过考核 WE
需要怎样的考核 WE
笔试题目是什么 WE
笔试题在哪 WE
能不能内推 NN
能否内部推荐 NN
能否免去笔试 WE
我想知道笔试题目是什么 WE
怎么胜任这个岗位 WE
题目类型是什么 WE
笔试题目都有哪些 WE
我想参见笔试 WE
我已经投了简历了 WE
如何应聘这个岗位 WE
需要通过哪些检验 WE
参加笔试 WE
应聘这个职位需要做什么 WE
你是谁 NN
在干嘛 NN
来自哪里 NN
我能够说脏话么 NN
有哪些话不能说 NN
我就是要干扰你在哪 NN
在哪呢岗位 NN
地址有哪些呢 NN
如果提到offer会怎么样 NN
