sentence classes
请问贵公司电话多少 AT
请问公司地址在哪 AT
公司在哪里呀 AT
公司电话多少呀 AT
请问如何与公司联系 AT
怎么和你们联系 AT
怎么和你们联系呀 AT
请问怎么去公司 AT
请问公司的联系方式 AT
公司的地址和联系方式是什么 AT
公司电话是多少 AT
公司在哪 AT
怎么去你们公司 AT
请问公司具体地址是什么 AT
公司通讯地址是哪里 AT
公司有电话能联系吗 AT
你们公司的电话是啥 AT
咋联系你们呢 AT
咋去公司呢 AT
公司地址在什么地方 AT
介绍一下你们公司吧 CI
你们公司有什么业务 CI
你们公司提供什么服务 CI
贵公司主要研究什么方向 CI
你们公司有多少员工 CI
你们公司在中国有分公司吗 CI
公司有人才培养计划吗 CI
公司的工作前景怎么样 CI
目前公司的规模怎么样 CI
贵公司是技术类公司吗 CI
介绍一下你们公司的基本业务 CI
贵公司需要什么样的人才呢 CI
公司怎么样 CI
贵公司业务覆盖怎么样 CI
介绍一下公司情况 CI
公司现状怎么样 CI
贵公司业务情况咋样 CI
简单介绍一下公司 CI
介绍一下公司现状 CI
公司一共有多少员工 CI
公司都有什么岗位 PI
介绍一下公司招聘岗位 PI
告诉我一下公司的招聘信息 PI
显示招聘信息 PI
公司最近有什么岗位缺人吗 PI
你们公司招人吗 PI
我想应聘你们公司 PI
公司招人计划 PI
你们公司招聘技术类的人吗 PI
展示招聘列表 PI
展示一下公司招聘信息 PI
公司招聘有什么要求 PI
招聘信息 PI
公司招聘情况 PI
公司缺人吗 PI
贵公司招聘计划是什么 PI
贵公司有什么岗位 PI
公司岗位有哪些 PI
公司缺少业务员吗 PI
请显示公司招聘职位信息 PI
显示公司历届笔试题目 PI
公司笔试在哪里 PI
公司怎么笔试的 PI
我想看看公司的笔试题目 PI
公司有在线笔试吗 PI
公司在哪做题 PI
题目信息 PI
请告诉我公司笔试题目在哪 PI
公司有题目做吗 PI
我想试试公司的题目 PI
我想了解一下公司笔试难度 PI
公司有笔试题目吗 PI
网上有公司题目吗 PI
在这里能直接做题吗 PI
题目在哪里 PI
我要进行笔试 PI
我想面试这个职位 PI
请问公司有题目可以参考吗 PI
我想参考一下历届的题目 PI
如何进行笔试 PI
今天天气咋样 NN
我今天不开心 NN
这公司真差劲 NN
能给我定个闹钟吗 NN
公司管饭吗 NN
公司给水喝吗 NN
我面试公司能过吗 NN
请问我能面试公司吗 NN
请问我能行吗 NN
贵公司包食宿吗 NN
你真讨厌 NN
你为什么不懂我在说什么 NN
你好烦哦 NN
我不想去你们公司了 NN
能退出这个吗 NN
我叫不高兴 NN
你们什么人呀 NN
我今天好高兴哦 NN
最近你好吗 NN
公司有人吗 NN
